video_id,style_raw,style_no,category_id,category_name,brand_code,brand_name,oss_url,posted_date,impressions,views,clicks,orders,revenue
7645105066117991693,SNMT26006M-W,SNMT26006M-W,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645105066117991693/2026/07/08/7645105066117991693_9387e4a81f504111878fc364517899ae.mp4,2026-05-28,271741,167414,8582,135,7887.230000
7645331427998911758,SNMT26006M-W,SNMT26006M-W,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645331427998911758/2026/07/07/7645331427998911758_7320fd39a2e241c78020cd2881dede18.mp4,2026-05-29,704623,634253,32728,322,18305.340000
7645355678348889357,SNRS24008M-L,SNRS24008M-L,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645355678348889357/2026/07/08/7645355678348889357_49b1decdc85443a5b5b1dc9e826b08d7.mp4,2026-05-29,151506,144426,7167,96,5181.680000
7645488746292350222,SDPW222W,DWUMWS2203,64,坡跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645488746292350222/2026/07/07/7645488746292350222_a49f9db29c1e43fbb3489db3ff65e84f.mp4,2026-05-29,188560,173831,5563,262,9836.830000
7645495457002704142,AMUMRS2503,AMUMRS2503,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645495457002704142/2026/08/16/7645495457002704142_bd838fb8a6264fd7a247e65af757a41d.mp4,2026-05-30,130179,122133,3277,79,4500.880000
7645650986123398413,SNMT26006M-W,SNMT26006M-W,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645650986123398413/2026/07/29/7645650986123398413_ed5f002e7d40459997ce3275c4284394.mp4,2026-05-30,143364,138811,5664,70,3933.690000
7645811950462586126,BMUMFN2554,BMUMFN2554,80,板鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645811950462586126/2026/07/08/7645811950462586126_a7cd55c520d7422b959ed9b558fc6aaf.mp4,2026-05-30,361563,338344,5607,141,5038.400000
7645872075726425358,SDHS25073W,SDHS25073W,63,高跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7645872075726425358/2026/07/08/7645872075726425358_0d3545a9439f45aab30d919ae6308c37.mp4,2026-05-30,1281394,1130690,41890,368,12206.300000
7646092933137042702,AWUMRS2514,AWUMRS2514,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7646092933137042702/2026/07/08/7646092933137042702_ba2974915f354cb1844b23d8215a99af.mp4,2026-05-31,195338,142880,9746,163,7412.870000
7646110480947252510,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7646110480947252510/2026/07/09/7646110480947252510_ac035a764e5344e591f1375aa329374a.mp4,2026-05-31,413305,405973,8000,100,5233.310000
